id_persona,id_establecimiento,id_educacion,fecha_inicio,fecha_termino,estado_participacion,horas_asistidas,promedio_calificacion,certificado_obtenido,fecha_registro
1776,10,5,2021-06-19,2023-06-09,Completado,955,4.3,True,2026-09-03
3091,9,1,2022-08-31,2023-04-21,Abandonado,135,,False,2026-09-03
3710,2,1,2022-07-26,2024-01-17,En Curso,227,5.3,False,2026-09-03
1627,1,4,2024-04-08,2025-09-30,En Curso,502,4.5,False,2026-09-03
3309,6,3,2020-05-20,2020-08-06,Abandonado,182,,False,2026-09-03
3116,3,4,2021-12-31,2022-06-29,Completado,237,4.8,True,2026-09-03
3625,4,4,2020-11-12,2022-05-06,Completado,704,5.1,True,2026-09-03
3831,6,3,2020-10-24,2021-10-19,Completado,475,6.1,True,2026-09-03
323,2,1,2023-11-23,2025-11-12,En Curso,362,4.4,False,2026-09-03
3932,9,1,2024-08-05,2025-06-18,Abandonado,213,,False,2026-09-03
274,3,3,2021-06-11,2022-09-11,Abandonado,113,,False,2026-09-03
4141,6,5,2020-07-04,2021-12-26,En Curso,401,5.7,False,2026-09-03
1212,3,4,2024-09-11,2024-12-08,Abandonado,58,,False,2026-09-03
257,5,2,2021-06-04,2021-09-26,Abandonado,90,,False,2026-09-03
4291,10,1,2021-11-01,2023-04-25,Completado,716,6.9,True,2026-09-03
2080,6,3,2024-06-17,2025-06-12,Completado,469,4.1,True,2026-09-03
1038,9,3,2022-02-14,2024-02-04,Completado,941,5.0,True,2026-09-03
2244,6,3,2021-08-28,2022-08-23,Completado,458,5.5,True,2026-09-03
91,8,3,2023-02-03,2024-01-03,Abandonado,148,,False,2026-09-03
1708,1,2,2022-05-24,2024-05-13,Completado,926,4.8,True,2026-09-03
3905,4,4,2022-10-19,2023-02-24,Abandonado,92,,False,2026-09-03
2960,9,3,2020-07-09,2022-06-29,Completado,935,5.4,True,2026-09-03
4206,7,3,2022-04-27,2023-04-22,Completado,458,4.1,True,2026-09-03
4561,2,2,2022-12-01,2023-11-26,Completado,474,5.2,True,2026-09-03
2733,6,4,2021-01-02,2022-01-08,Abandonado,133,,False,2026-09-03
4032,7,5,2020-11-05,2021-10-31,Completado,473,4.3,True,2026-09-03
2209,8,4,2021-10-14,2021-11-19,Abandonado,321,,False,2026-09-03
1225,2,3,2021-03-03,2022-08-25,Completado,707,4.7,True,2026-09-03
4980,5,3,2022-01-09,2022-07-08,Completado,229,4.3,True,2026-09-03
243,7,3,2023-12-04,2024-06-01,En Curso,93,6.3,False,2026-09-03
4949,5,1,2023-10-26,2024-02-05,Abandonado,27,,False,2026-09-03
4590,4,4,2021-09-19,2023-03-13,Completado,704,4.9,True,2026-09-03
2804,2,1,2023-12-21,2024-12-15,Completado,478,6.3,True,2026-09-03
3843,10,2,2024-10-31,2025-04-29,En Curso,115,6.3,False,2026-09-03
1236,5,5,2021-04-06,2021-10-03,En Curso,80,6.5,False,2026-09-03
3892,9,5,2024-07-23,2025-01-19,Completado,239,4.8,True,2026-09-03
4441,3,2,2024-06-24,2025-12-16,Completado,698,6.1,True,2026-09-03
4278,4,4,2023-12-12,2024-04-08,Abandonado,192,,False,2026-09-03
1596,9,3,2021-02-03,2022-07-28,Completado,691,6.0,True,2026-09-03
4795,2,1,2024-11-06,2025-11-01,Completado,473,5.5,True,2026-09-03
4651,3,5,2021-07-29,2022-07-24,Completado,474,6.6,True,2026-09-03
2785,3,5,2023-11-14,2025-05-07,En Curso,455,6.9,False,2026-09-03
4149,9,5,2020-06-12,2021-12-04,Completado,702,6.4,True,2026-09-03
3855,1,3,2023-02-20,2023-11-13,Abandonado,177,,False,2026-09-03
2634,6,2,2022-03-15,2023-03-10,Completado,461,6.4,True,2026-09-03
4587,4,1,2024-11-09,2025-11-04,Completado,470,4.2,True,2026-09-03
2082,10,3,2021-09-24,2022-09-19,Completado,472,4.7,True,2026-09-03
3521,4,5,2024-09-19,2025-04-16,Abandonado,318,,False,2026-09-03
3366,10,3,2023-12-28,2024-05-31,Abandonado,97,,False,2026-09-03
2653,9,2,2023-10-24,2025-04-16,En Curso,441,6.2,False,2026-09-03
4033,9,5,2020-02-21,2021-02-15,En Curso,287,4.7,False,2026-09-03
106,1,1,2020-05-01,2021-10-23,En Curso,315,6.4,False,2026-09-03
4446,8,5,2020-08-04,2022-01-26,Completado,692,5.5,True,2026-09-03
2160,5,2,2020-10-22,2021-04-20,En Curso,114,4.3,False,2026-09-03
173,9,2,2023-07-14,2025-01-04,Completado,719,5.4,True,2026-09-03
494,7,3,2023-02-12,2024-02-07,En Curso,290,6.8,False,2026-09-03
2772,6,4,2020-12-16,2021-12-11,En Curso,213,6.3,False,2026-09-03
4202,3,1,2020-07-31,2021-07-26,Completado,479,6.0,True,2026-09-03
2499,8,3,2022-10-13,2023-10-08,Completado,461,6.2,True,2026-09-03
2855,4,1,2022-02-27,2024-02-17,En Curso,430,4.3,False,2026-09-03
4530,9,5,2021-11-16,2022-05-15,En Curso,105,5.2,False,2026-09-03
651,4,5,2024-08-29,2026-02-20,Completado,718,5.7,True,2026-09-03
1379,7,5,2020-07-30,2022-07-20,Completado,922,4.2,True,2026-09-03
4071,8,4,2024-09-05,2025-08-31,Completado,472,6.0,True,2026-09-03
2687,9,2,2022-01-12,2024-01-02,Completado,917,6.6,True,2026-09-03
3964,3,2,2022-05-01,2022-10-28,Completado,232,6.1,True,2026-09-03
2076,9,5,2022-09-15,2023-08-10,Abandonado,161,,False,2026-09-03
849,8,1,2023-01-29,2025-01-18,Completado,916,4.6,True,2026-09-03
1179,10,1,2020-09-14,2021-09-09,Completado,469,5.0,True,2026-09-03
537,10,1,2022-04-02,2022-09-29,Completado,228,5.1,True,2026-09-03
2100,4,2,2024-04-15,2025-04-10,En Curso,303,6.3,False,2026-09-03
451,6,3,2022-12-21,2023-06-19,En Curso,165,6.5,False,2026-09-03
1696,6,1,2021-09-07,2022-09-02,En Curso,253,4.2,False,2026-09-03
127,10,2,2023-09-02,2025-08-22,En Curso,325,4.7,False,2026-09-03
4400,9,5,2022-01-15,2023-07-08,Abandonado,186,,False,2026-09-03
1562,2,4,2023-06-26,2023-08-31,Abandonado,341,,False,2026-09-03
4116,10,5,2024-08-01,2024-10-21,Abandonado,114,,False,2026-09-03
2798,5,3,2021-02-15,2023-02-05,En Curso,451,4.9,False,2026-09-03
3579,2,2,2023-03-18,2023-09-14,Completado,235,6.3,True,2026-09-03
1922,7,3,2023-05-12,2023-10-22,Abandonado,300,,False,2026-09-03
2590,9,5,2020-12-11,2022-06-04,Completado,717,6.1,True,2026-09-03
4977,3,5,2024-05-25,2025-05-20,Completado,467,5.6,True,2026-09-03
3605,1,3,2020-07-11,2021-10-09,Abandonado,146,,False,2026-09-03
1156,6,1,2021-02-04,2022-01-30,Completado,460,4.7,True,2026-09-03
2479,2,4,2023-11-13,2024-05-11,En Curso,93,5.2,False,2026-09-03
2949,4,5,2022-04-28,2022-10-25,Completado,239,4.2,True,2026-09-03
943,4,4,2024-12-12,2026-06-05,Completado,713,6.1,True,2026-09-03
1181,8,5,2020-01-22,2020-11-07,Abandonado,166,,False,2026-09-03
4030,3,4,2024-06-05,2025-05-31,En Curso,174,6.6,False,2026-09-03
2761,1,3,2022-09-30,2023-09-25,Completado,459,6.8,True,2026-09-03
1333,4,4,2022-03-03,2022-08-30,Completado,237,6.7,True,2026-09-03
2385,7,1,2022-10-12,2024-10-01,Completado,953,5.3,True,2026-09-03
4573,4,1,2024-09-07,2025-03-06,Completado,230,5.5,True,2026-09-03
4133,1,3,2021-04-18,2022-10-10,En Curso,451,6.3,False,2026-09-03
1204,3,2,2020-11-15,2021-05-14,Completado,238,6.1,True,2026-09-03
1742,3,4,2020-01-21,2021-01-15,Completado,470,6.9,True,2026-09-03
2099,5,5,2021-11-22,2022-11-17,Completado,468,5.8,True,2026-09-03
278,9,1,2020-10-22,2022-10-12,Completado,921,6.1,True,2026-09-03
1908,3,2,2024-03-29,2026-03-19,Completado,932,6.7,True,2026-09-03
2510,9,3,2023-12-03,2025-05-26,En Curso,304,4.9,False,2026-09-03
886,1,5,2020-12-01,2021-11-26,Completado,479,5.5,True,2026-09-03
3614,8,3,2023-05-25,2023-07-01,Abandonado,132,,False,2026-09-03
1209,6,1,2020-02-06,2022-01-26,Completado,955,4.6,True,2026-09-03
496,2,5,2020-07-09,2021-07-04,Completado,468,5.6,True,2026-09-03
810,6,5,2024-11-08,2026-05-02,En Curso,260,4.5,False,2026-09-03
4499,5,1,2023-05-15,2024-05-09,En Curso,155,6.5,False,2026-09-03
866,6,1,2024-06-15,2025-06-10,Completado,462,4.9,True,2026-09-03
1218,6,1,2022-11-20,2024-11-09,Completado,957,5.7,True,2026-09-03
2692,3,1,2023-04-23,2024-04-17,Completado,478,4.5,True,2026-09-03
2350,3,1,2022-11-15,2024-11-04,Completado,943,5.5,True,2026-09-03
3140,9,4,2021-01-02,2021-07-01,En Curso,121,6.3,False,2026-09-03
487,3,4,2022-05-22,2023-11-13,Completado,713,6.0,True,2026-09-03
689,2,1,2021-09-12,2022-09-07,En Curso,245,5.9,False,2026-09-03
1186,10,5,2022-06-17,2022-12-14,Completado,232,5.4,True,2026-09-03
4896,4,3,2020-03-22,2021-03-17,En Curso,312,6.4,False,2026-09-03
4321,7,4,2020-09-26,2022-03-20,Completado,707,4.8,True,2026-09-03
1118,9,5,2020-01-16,2021-01-10,Completado,477,6.8,True,2026-09-03
4925,6,4,2023-06-27,2024-06-21,Completado,476,5.4,True,2026-09-03
2681,9,1,2021-09-28,2022-09-23,En Curso,280,7.0,False,2026-09-03
882,7,4,2024-01-03,2025-12-23,Completado,948,6.9,True,2026-09-03
1227,10,2,2024-10-03,2025-09-28,Completado,456,5.4,True,2026-09-03
4888,6,1,2020-09-05,2020-12-23,Abandonado,67,,False,2026-09-03
638,7,3,2020-06-01,2022-05-22,Completado,936,6.2,True,2026-09-03
1112,8,5,2024-01-23,2025-01-17,En Curso,300,5.6,False,2026-09-03
3327,3,5,2023-11-30,2024-11-24,En Curso,240,4.7,False,2026-09-03
573,4,2,2023-02-28,2023-10-22,Abandonado,231,,False,2026-09-03
2131,4,1,2020-08-24,2021-02-20,En Curso,151,6.7,False,2026-09-03
770,3,3,2021-02-10,2021-08-09,En Curso,137,7.0,False,2026-09-03
2950,7,5,2024-05-28,2024-11-24,Completado,232,5.9,True,2026-09-03
3925,3,4,2024-09-04,2026-02-26,Completado,691,4.1,True,2026-09-03
2468,9,1,2022-03-19,2023-03-14,Completado,472,4.7,True,2026-09-03
2911,7,2,2020-06-19,2022-06-09,En Curso,519,4.5,False,2026-09-03
4559,5,2,2020-05-27,2020-11-23,En Curso,111,5.8,False,2026-09-03
281,6,4,2021-07-29,2022-01-25,En Curso,134,5.9,False,2026-09-03
887,10,1,2021-11-24,2022-11-19,En Curso,263,6.1,False,2026-09-03
1494,9,5,2023-06-03,2024-11-24,En Curso,408,5.0,False,2026-09-03
1765,2,2,2024-07-15,2025-07-10,Completado,469,4.7,True,2026-09-03
2646,9,2,2023-09-24,2024-09-18,Completado,472,5.6,True,2026-09-03
1521,3,1,2022-10-13,2023-04-11,Completado,239,5.2,True,2026-09-03
678,8,5,2021-08-29,2022-08-24,Completado,461,6.5,True,2026-09-03
3453,4,5,2021-02-27,2021-08-26,Completado,238,5.3,True,2026-09-03
2144,5,3,2021-03-07,2022-08-29,Completado,685,5.4,True,2026-09-03
2613,4,1,2021-09-11,2022-03-10,Completado,230,5.4,True,2026-09-03
1803,1,4,2022-09-10,2024-08-30,Completado,929,5.0,True,2026-09-03
